,,4,5,1,1,4,3,4,2,2,1,27
2024,June,Korea,China,Taiwan,USA,Germany,France,Japan,United Kingdom,Australia,Canada,Total
,,1,1,1,1,0,0,0,0,0,0,4
2024,July,Korea,Taiwan,China,USA,United Kingdom,Germany,Japan,Canada,Australia,Hong Kong,Total
,,0,0,0,1,0,0,1,1,0,1,4
2024,August,Korea,China,Taiwan,USA,Germany,Japan,France,United Kingdom,Hong Kong,Canada,Total
,,1,0,0,0,0,2,1,0,0,0,4
2024,September,Korea,China,Taiwan,USA,Japan,Hong Kong,Germany,Singapore,Spain,United Kingdom,Total
,,2,3,1,1,3,1,0,0,0,0,11
2024,October,Korea,China,Taiwan,USA,Japan,Hong Kong,Germany,Singapore,Canada,Malaysia,Total
,,3,7,1,1,1,2,1,1,1,1,19
2024,November,Korea,China,Taiwan,USA,Japan,Germany,Russia,Poland,France,Spain,Total
,,0,0,0,2,3,0,2,2,2,1,12
2024,December,Korea,China,Taiwan,USA,Japan,Germany,France,United Kingdom,Canada,Russia,Total
,,1,0,0,2,1,2,1,2,2,2,13
2025,January,Korea,Taiwan,China,USA,Poland,France,Germany,Australia,Spain,Russia,Total
,,5,6,5,3,2,1,1,2,2,6,33
2025,February,Korea,China,Taiwan,USA,France,Germany,Poland,Israel,United Kingdom,Spain,Total
,,0,4,3,1,0,0,0,0,0,0,8
2025,March,Korea,China,USA,Taiwan,France,Germany,United Kingdom,Russia,Poland,Japan,Total
,,2,0,0,0,0,0,0,1,0,1,4
2025,April,Korea,Taiwan,China,USA,France,United Kingdom,Germany,Australia,Spain,Japan,Total
,,0,2,3,0,1,1,2,3,1,1,14
2025,May,Korea,China,Taiwan,USA,France,Germany,Japan,United Kingdom,Canada,Spain,Total
,,3,6,3,1,3,2,4,2,1,1,26
2025,June,Korea,Taiwan,China,USA,Spain,United Kingdom,Japan,France,Germany,Australia,Total
,,2,0,2,1,0,0,0,1,1,0,7
2025,July,Korea,China,Taiwan,USA,Japan,Hong Kong,Spain,Australia,Canada,Germany,Total
,,0,0,0,1,1,1,0,0,1,0,4
2025,August,Korea,China,Taiwan,USA,Spain,France,United Kingdom,Germany,Japan,Australia,Total
,,1,0,0,0,1,1,0,0,1,0,4
2025,September,Korea,China,USA,Taiwan,Germany,Australia,Spain,Israel,United Kingdom,Japan,Total
,,0,0,1,0,0,0,0,2,0,2,5
2025,October,Korea,China,Taiwan,USA,France,Spain,Canada,Israel,Germany,Australia,Total
,,6,8,2,1,0,1,1,3,1,0,23
2025,November,Korea,USA,Taiwan,China,Germany,France,Russia,Spain,Poland,Japan,Total
,,0,2,0,0,0,2,2,1,2,3,12
2025,December,Korea,Russia,China,USA,Taiwan,Germany,France,United Kingdom,Spain,Australia,Total
,,1,1,0,3,0,2,1,2,3,2,15
